reporter_iso_3,reporter_name,partner_iso_3,partner_name,year,trade_flow_name,trade_value_1000_usd,trade_value_usd,reporter_continent,partner_continent,reporter_lat,reporter_long,partner_lat,partner_long
AFG,Afghanistan,SWE,Sweden,2017,Export,86.752,86752.0,Asia,Europe,33.7680065,66.2385139,59.6749712,14.5208584
AFG,Afghanistan,JOR,Jordan,2018,Export,2796.481,2796481.0,Asia,Asia,33.7680065,66.2385139,31.1667049,36.941628
AFG,Afghanistan,JOR,Jordan,2017,Export,3100.187,3100187.0,Asia,Asia,33.7680065,66.2385139,31.1667049,36.941628
AFG,Afghanistan,ITA,Italy,2018,Export,279.918,279918.0,Asia,Europe,33.7680065,66.2385139,42.6384261,12.674297
AFG,Afghanistan,ITA,Italy,2017,Export,416.642,416642.0,Asia,Europe,33.7680065,66.2385139,42.6384261,12.674297
AFG,Afghanistan,IRQ,Iraq,2018,Export,13190.08,13190080.0,Asia,Asia,33.7680065,66.2385139,33.0955793,44.1749775
AFG,Afghanistan,IRQ,Iraq,2017,Export,14563.223,14563223.0,Asia,Asia,33.7680065,66.2385139,33.0955793,44.1749775
AFG,Afghanistan,IRN,"Iran, Islamic Rep.",2018,Export,19508.634,19508634.0,Asia,Asia,33.7680065,66.2385139,,
AFG,Afghanistan,IRN,"Iran, Islamic Rep.",2017,Export,18112.759,18112759.0,Asia,Asia,33.7680065,66.2385139,,
AFG,Afghanistan,IND,India,2018,Export,359437.858,359437858.0,Asia,Asia,33.7680065,66.2385139,22.3511148,78.6677428
AFG,Afghanistan,IND,India,2017,Export,356139.528,356139528.0,Asia,Asia,33.7680065,66.2385139,22.3511148,78.6677428
AFG,Afghanistan,IDN,Indonesia,2018,Export,54.029,54029.0,Asia,Asia,33.7680065,66.2385139,-2.4833826,117.8902853
AFG,Afghanistan,IDN,Indonesia,2017,Export,54.029,54029.0,Asia,Asia,33.7680065,66.2385139,-2.4833826,117.8902853
AFG,Afghanistan,HUN,Hungary,2018,Export,10.144,10144.0,Asia,Europe,33.7680065,66.2385139,47.1817585,19.5060937
AFG,Afghanistan,HUN,Hungary,2017,Export,21.713,21713.0,Asia,Europe,33.7680065,66.2385139,47.1817585,19.5060937
AFG,Afghanistan,HKG,"Hong Kong, China",2018,Export,941.724,941724.0,Asia,Asia,33.7680065,66.2385139,22.2793278,114.1628131
